45295,5,15,2055.3,2
45295,5,20,2055.9,2
45295,5,25,2055.7,2
45295,5,30,2056.4,2
45295,5,35,2056,2
45295,5,40,2056.1,2
45295,5,45,2055.3,2
45295,5,50,2054.1,2
45295,5,55,2054.7,2
45295,6,0,2055.2,3
45295,6,5,2054.5,3
45295,6,10,2055,3
45295,6,15,2055.1,3
45295,6,20,2055.5,3
45295,6,25,2055.1,3
45295,6,30,2055,3
45295,6,35,2055.3,3
45295,6,40,2055.1,3
45295,6,45,2054.5,3
45295,6,50,2054.6,3
45295,6,55,2052.9,3
45295,7,0,2052.4,3
45295,7,5,2052,3
45295,7,10,2052.2,3
45295,7,15,2052.2,3
45295,7,20,2051.9,3
45295,7,25,2051.8,3
45295,7,30,2052.7,3
45295,7,35,2053.3,3
45295,7,40,2052.3,3
45295,7,45,2053.5,3
45295,7,50,2053,3
45295,7,55,2053,3
45295,8,0,2053.7,3
45295,8,5,2053.1,3
45295,8,10,2053.6,3
45295,8,15,2052.4,3
45295,8,20,2052,3
45295,8,25,2051.2,3
45295,8,30,2049.7,6
45295,8,35,2048.7,6
45295,8,40,2047.6,6
45295,8,45,2046.7,6
45295,8,50,2048.1,6
45295,8,55,2048.3,6
45295,9,0,2047.4,6
45295,9,5,2046.4,6
45295,9,10,2046.3,6
45295,9,15,2047.6,6
45295,9,20,2048.1,6
45295,9,25,2048.3,6
45295,9,30,2047.8,6
45295,9,35,2046.4,6
45295,9,40,2046.6,6
45295,9,45,2046.8,6
45295,9,50,2043.7,6
45295,9,55,2045.9,6
45295,10,0,2046.7,6
45295,10,5,2048.8,6
45295,10,10,2048.7,6
45295,10,15,2052.4,6
45295,10,20,2051.1,6
45295,10,25,2051.8,6
45295,10,30,2054.3,2
45295,10,35,2053,2
45295,10,40,2052.7,2
45295,10,45,2052.2,2
45295,10,50,2052.3,4
45295,10,55,2051.1,4
45295,11,0,2052.6,4
45295,11,5,2052.3,4
45295,11,10,2051.8,4
45295,11,15,2052.5,4
45295,11,20,2051.7,4
45295,11,25,2051.7,4
45295,11,30,2052.7,4
45295,11,35,2052.2,4
45295,11,40,2053.5,4
45295,11,45,2053,4
45295,11,50,2051.8,4
45295,11,55,2051.9,4
45295,12,0,2052.1,1
45295,12,5,2050.9,1
45295,12,10,2052.3,1
45295,12,15,2050.9,1
45295,12,20,2050.1,1
45295,12,25,2049.5,1
45295,12,30,2049.1,1
45295,12,35,2049.3,1
45295,12,40,2050.4,1
45295,12,45,2050.8,1
45295,12,50,2050.8,1
45295,12,55,2050.8,1
45295,13,0,2050.7,1
45295,13,5,2051.1,1
45295,13,10,2049.6,1
45295,13,15,2049.7,1
45295,13,20,2049.3,1
45295,13,25,2049.7,1
45295,13,30,2049.9,1
45295,13,35,2050.3,1
45295,13,40,2050.3,1
45295,13,45,2050.3,1
45295,13,50,2050.1,1
45295,13,55,2050.3,1
45295,14,0,2050.6,-1
45295,14,5,2051,-1
45295,14,10,2050.8,-1
45295,14,15,2050.5,-1
45295,14,20,2050.7,-1
45295,14,25,2050.1,-1
45295,14,30,2050.3,1
45295,14,35,2049.9,1
45295,14,40,2050.4,1
45295,14,45,2050.5,1
45295,14,50,2051.8,1
45295,14,55,2052.1,1
45295,15,0,2052,1
45295,15,5,2052,1
45295,15,10,2051.7,1
45295,15,15,2052.3,1
45295,15,20,2051.8,1
45295,15,25,2051.7,1
45295,15,30,2051.9,1
45295,15,35,2051.8,1
45295,15,40,2052.2,1
45295,15,45,2051.9,1
45295,15,50,2051.6,1
45295,15,55,2051.1,1
45295,16,0,2051.1,3
45295,16,5,2051.4,3
45295,16,10,2051.1,3
45295,16,15,2050.8,3
45295,16,20,2050.9,3
45295,16,25,2050.9,3
45295,16,30,2050.8,3
45295,16,35,2050.8,3
45295,16,40,2050.7,3
45295,16,45,2050.7,3
45295,16,50,2051,3
45295,16,55,2051,3
45295,17,0,2051,3
45295,17,5,2051,3
45295,17,10,2051,3
45295,17,15,2051,3
45295,17,20,2051,3
45295,17,25,2051,3
45295,17,30,2051,3
45295,17,35,2051,3
45295,17,40,2051,3
45295,17,45,2051,3
45295,17,50,2051,3
45295,17,55,2051,3
45295,18,0,2051,3
45295,18,5,2050.3,3
45295,18,10,2051.1,3
45295,18,15,2051.7,3
45295,18,20,2051.1,3
45295,18,25,2050.4,3
45295,18,30,2050.2,3
45295,18,35,2050.6,3
45295,18,40,2050.5,3
45295,18,45,2050.7,3
45295,18,50,2050.4,3
45295,18,55,2051.4,3
45295,19,0,2051.2,3
45295,19,5,2050.8,3
45295,19,10,2050.6,3
45295,19,15,2050.8,3
45295,19,20,2051.2,3
45295,19,25,2050.8,3
45295,19,30,2050.9,3
45295,19,35,2051.3,3
45295,19,40,2051.3,3
45295,19,45,2051.3,3
45295,19,50,2051.7,3
45295,19,55,2051.4,3
45295,20,0,2051.3,3
45295,20,5,2051.9,3
45295,20,10,2052.5,3
45295,20,15,2054,3
45295,20,20,2054.5,3
45295,20,25,2053.5,3
45295,20,30,2053,3
45295,20,35,2052.3,3
45295,20,40,2053.9,3
45295,20,45,2054,3
45295,20,50,2053.6,3
45295,20,55,2053.3,3
45295,21,0,2052.8,3
45295,21,5,2053.5,3
45295,21,10,2053.6,3
45295,21,15,2053.3,3
45295,21,20,2053.4,3
45295,21,25,2054.3,3
45295,21,30,2054,3
45295,21,35,2053.3,3
45295,21,40,2053,3
45295,21,45,2053.3,3
45295,21,50,2053.5,3
45295,21,55,2053.7,3
45295,22,0,2052.9,3
45295,22,5,2052.8,3
45295,22,10,2052.6,3
45295,22,15,2052.1,3
45295,22,20,2052.4,3
45295,22,25,2052,3
45295,22,30,2052.1,3
45295,22,35,2052.2,3
45295,22,40,2052.5,3
45295,22,45,2051.8,3
45295,22,50,2051.8,3
45295,22,55,2052.1,3
45295,23,0,2052,3
45295,23,5,2051.7,3
45295,23,10,2051.8,3
45295,23,15,2051.5,3
45295,23,20,2052,3
45295,23,25,2052,3
45295,23,30,2052.8,3
45295,23,35,2052.8,3
45295,23,40,2052.5,3
45295,23,45,2052.1,3
45295,23,50,2051.8,3
45295,23,55,2051.8,3
45296,0,0,2051.3,3
45296,0,5,2051.2,3
45296,0,10,2050.5,3
45296,0,15,2050.5,3
45296,0,20,2050.6,3
45296,0,25,2050.7,3
45296,0,30,2051,3
45296,0,35,2051.1,3
45296,0,40,2051.7,3
45296,0,45,2051.4,3
45296,0,50,2051.2,3
45296,0,55,2050.7,3
45296,1,0,2051.2,3
45296,1,5,2051.1,3
45296,1,10,2051.1,3
45296,1,15,2051.2,3
45296,1,20,2050.4,3
45296,1,25,2049.7,3
45296,1,30,2049.1,2
45296,1,35,2048.7,2
45296,1,40,2048.1,2
45296,1,45,2048,2
45296,1,50,2048.8,2
45296,1,55,2048.8,2
45296,2,0,2048.9,2
45296,2,5,2049.7,2
45296,2,10,2050.3,2
45296,2,15,2051.9,2
45296,2,20,2052.6,2
45296,2,25,2052.2,2
45296,2,30,2051.6,2
45296,2,35,2051.4,2
45296,2,40,2051,2
45296,2,45,2050.5,2
45296,2,50,2050.3,2
45296,2,55,2050.7,2
45296,3,0,2050,2
45296,3,5,2051.1,2
45296,3,10,2049.3,2
45296,3,15,2049.6,2
45296,3,20,2049.7,2
45296,3,25,2049.4,2
45296,3,30,2049.6,3
45296,3,35,2049.3,3
45296,3,40,2049.3,3
45296,3,45,2048.9,3
45296,3,50,2049.7,3
45296,3,55,2048.6,3
45296,4,0,2049.2,3
45296,4,5,2049.2,3
45296,4,10,2049.4,3
45296,4,15,2049.5,3
45296,4,20,2049.5,3
45296,4,25,2049.5,3
45296,4,30,2048.9,0
45296,4,35,2048.9,0
45296,4,40,2049,0
45296,4,45,2048,0
45296,4,50,2048.1,0
45296,4,55,2046,0
45296,5,0,2045.7,0
45296,5,5,2045.1,0
45296,5,10,2044.5,0
45296,5,15,2045.1,0
45296,5,20,2045,0
45296,5,25,2044.9,0
45296,5,30,2044.6,0
45296,5,35,2045.1,0
45296,5,40,2045.1,0
45296,5,45,2045.3,0
45296,5,50,2045.5,0
45296,5,55,2046.9,0
45296,6,0,2046.9,0
45296,6,5,2047.1,0
45296,6,10,2046.6,0
45296,6,15,2045.4,0
45296,6,20,2045.2,0
45296,6,25,2044.9,0
45296,6,30,2044.4,0
45296,6,35,2045.2,0
45296,6,40,2045.7,0
45296,6,45,2045,0
45296,6,50,2046.1,0
45296,6,55,2045.3,0
45296,7,0,2046,0
45296,7,5,2047.1,0
45296,7,10,2045.9,0
45296,7,15,2046.7,0
45296,7,20,2046.2,0
45296,7,25,2045.8,0
45296,7,30,2045.5,0
45296,7,35,2046.5,0
45296,7,40,2047,0
